,original,translation,target,label
69,"A woman's place is with her husband or her family, and feminists can't change that.","Phụ nữ thì chỉ nên ở nhà lo cho chồng con, mấy đứa theo chủ nghĩa nữ quyền có cố gắng thế nào cũng không thay đổi được điều đó đâu.",Women,Explicit HS
70,White race is superior. Niggas are just a bunch of criminals.,Người da trắng là thượng đẳng. Bọn da đen chỉ toàn là lũ tội phạm.,Ethnic/Racial Minorities,Explicit HS
71,"Women are subhuman, they should obey men and be submissive.","Phụ nữ chỉ là loài hạ đẳng, họ phải biết nghe lời và phục tùng đàn ông.",Women,Explicit HS
72,"I don't like niggas, they are just a bunch of criminals and thieves.","Tao không ưa bọn da đen, chúng chỉ toàn là lũ tội phạm và trộm cắp.",Ethnic/Racial Minorities,Explicit HS
73,"Muslims steal the work of our citizens. I do not care if they have more skills, it is not right! First we and then them!","Bọn Hồi giáo cướp việc của người dân chúng ta. Tao không quan tâm tụi nó có giỏi hơn hay không, như vậy là không đúng! Phải là chúng ta trước, rồi mới đến lượt tụi nó!",Religious Groups,Explicit HS
74,We shouldn't welcome Muslims. They are most likely to perpetrate terrorist attacks in Europe.,Chúng ta không nên chào đón người Hồi giáo. Tụi nó dễ gây ra khủng bố ở châu Âu nhất.,Religious Groups,Explicit HS
75,Say we have a peacefull religion or we kill you.,"Tụi tao bảo đạo của tụi tao là hòa bình, không thì tụi tao giết mày.",Religious Groups,Explicit HS
76,"Our government has allowed in this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?","Chính phủ của chúng ta đã cho phép lũ Hồi giáo bẩn thỉu này vào: tấn công bằng dao, bóc lột phụ nữ, hiếp dâm tập thể, giết người. Sao họ dám làm vậy?",Religious Groups,Explicit HS
77,Jews killed Jesus because of his religion.,Người Do Thái đã giết Chúa Giêsu chỉ vì tôn giáo của ông ta.,Religious Groups,Explicit HS
78,"We don´t want to stop arabic peoples,we want to stop Islam a doctrine that says that killing infidels is the way to go,and we will stop it,we will kill and deport you all before you are a menace.","Chúng tao không muốn ngăn chặn người Ả Rập, chúng tao muốn ngăn chặn Hồi giáo, cái giáo lý mà bảo giết kẻ ngoại đạo là con đường đúng đắn. Chúng tao sẽ ngăn chặn nó, sẽ giết và trục xuất hết bọn mày trước khi bọn mày trở thành mối đe dọa.",Religious Groups,Explicit HS
79,"Blac Chyna is straight trash and an abomination to women everywhere. Don’t @ me cause I don’t care. Hoe responsibly, bitches.","Blac Chyna đúng là rác rưởi và là nỗi ô nhục cho phụ nữ khắp nơi. Đừng có mà ý kiến ý cò gì với tao vì tao không quan tâm đâu. Làm gái thì cũng phải biết tự trọng chứ, mấy con điếm.",Women,Explicit HS
80,We have to get rid of Islam now! We will all be killed in the streets!,Phải loại bỏ Hồi giáo ngay bây giờ! Nếu không thì chúng ta sẽ bị giết hết ngoài đường!,Religious Groups,Explicit HS
81,"Islam is incompatible with British culture, it is a den of terrorists.","Hồi giáo không thể hòa hợp với văn hóa Anh, đó là ổ của bọn khủng bố.",Religious Groups,Explicit HS
82,"Muslims do not want peace like they say, all they know is hate.","Người Hồi giáo không hề muốn hòa bình như họ nói, tất cả những gì họ biết chỉ là thù hận.",Religious Groups,Explicit HS
83,Muslims just want to kill us all.,Bọn Hồi giáo chỉ muốn giết hết chúng ta thôi.,Religious Groups,Explicit HS
84,"You know, if I had the chance to kill you, I would have done it, with a smile.","Mày biết không, nếu tao có cơ hội giết mày thì tao đã làm rồi, và còn cười nữa.",Non-Specified or General Targets,Explicit HS
85,Muslims are nothing but criminals and terrorists.,Người Hồi giáo chỉ toàn là bọn tội phạm và khủng bố.,Religious Groups,Explicit HS
86,"Islam is not a religion, it is a political ideology and a mechanism for the establishment of a Muslim caliphate.","Hồi giáo không phải là tôn giáo, nó là một ý thức hệ chính trị và công cụ để thiết lập một đế chế Hồi giáo.",Religious Groups,Explicit HS
87,you are not white  you are an inferior race to the turkeys  i like turkeys but you are lesser turkeys .,"mày không phải là người da trắng, mày là giống loài thấp kém hơn cả lũ gà tây. tao thích gà tây nhưng mày còn thua cả chúng nó.",Ethnic/Racial Minorities,Explicit HS
88,Any White woman that has disgraced the white race and inbread with monkeys will be executed and dumped in the same mass graves as the Muslim and African PIG!,Bất kỳ người phụ nữ da trắng nào làm ô nhục chủng tộc mình bằng cách lai tạo với bọn khỉ thì sẽ bị xử tử và vứt vào hố chôn tập thể cùng với lũ HEO Hồi giáo và châu Phi!,Women,Explicit HS
89,"Islam and ISIS should go to hell. All Muslims should be immediately sent to their country, because they are all intolerant criminals. If we do so, Britain will be a safer place.","Hồi giáo và ISIS đáng bị đày xuống địa ngục. Tất cả người Hồi giáo nên bị tống cổ về nước của họ ngay lập tức, bởi vì bọn chúng đều là tội phạm không biết khoan dung. Làm như vậy thì nước Anh mới an toàn hơn.",Religious Groups,Explicit HS
90,"Women are there to fulfill men desires. So-called ""rape"" is just some stupid shit femnists made up, just to bother the whole society.","Phụ nữ sinh ra chỉ để phục vụ ham muốn của đàn ông. Cái gọi là ""hiếp dâm"" chỉ là trò vớ vẩn do mấy đứa nữ quyền bày ra để làm phiền cả xã hội.",Women,Explicit HS
91,"Church Takes Stand Against Trump's Immigration Policy in the Most Foul, Disgusting Way https://t.co/iL4BkLnGFc via @FlagandC  This is a cult,not a church.More useful fools...","Đây không phải là nhà thờ mà là một tà giáo, toàn lũ ngu dốt bị lợi dụng...",Political Affiliations,Explicit HS
92,They killed 6 million innocent Jews who I will see again in the heavens some day while Hitler and the rest of you Nazi scum burn in Hell for all eternity.,"Chúng đã giết 6 triệu người Do Thái vô tội mà tao sẽ gặp lại trên thiên đường một ngày nào đó, trong khi Hitler và lũ phát xít chúng mày sẽ bị thiêu đốt dưới địa ngục mãi mãi.",Religious Groups,Explicit HS
93,"Islam is a Death Cult, it is a Ponzi Scheme and every Muslim should be banned from the UK.","Hồi giáo là một giáo phái chết chóc, nó như một trò lừa đảo đa cấp và tất cả người Hồi giáo nên bị cấm cửa khỏi Vương quốc Anh.",Religious Groups,Explicit HS
94,Women are subhuman and deserve to be treated as such.,Phụ nữ chỉ là loài hạ đẳng và đáng bị đối xử như vậy.,Women,Explicit HS
95,To be honest .. i dont think this Muslim killed him because he thought the swedish boy looked like a racist ... it was probably just an excuse .,"Thẳng thắn mà nói, tao không nghĩ thằng Hồi giáo này giết thằng bé Thụy Điển vì nghĩ nó trông giống kẻ phân biệt chủng tộc đâu... chắc chỉ là cái cớ thôi.",Religious Groups,Explicit HS
96,Jihadi Bride wants to return to the UK now that Isis is defeated. She gave up all rights when she joined the terrorists. Let her rot in a camp in Raqqa!!,Cô dâu Jihadi giờ muốn quay về Anh sau khi Isis bị đánh bại. Khi đã theo bọn khủng bố thì cô ta đã từ bỏ mọi quyền lợi rồi. Cứ để cô ta mục rữa trong trại ở Raqqa đi!!,Nationalities/Regions,Explicit HS
97,"African Americans are essentially animals, incapable of feeling love.","Người da đen chẳng khác gì loài thú, không biết yêu thương là gì.",Ethnic/Racial Minorities,Explicit HS
98,"What are we to make of one Muslim's ""The only reason you really hate Islam is because you know we will kill you even if it means our own death"" several years ago?","Chúng ta phải nghĩ sao về câu nói của một người Hồi giáo rằng ""Lý do duy nhất mày thực sự ghét đạo Hồi là vì mày biết chúng tao sẽ giết mày dù có phải chết""?",Religious Groups,Explicit HS
99,KILL THIS FUCKING JEW...JEWS ARE TROYAN HORSE IN THE EUROPEAN COUNTRIES...THEY ARE RATS...HITLER WAS RIGHT....!!!,GIẾT TÊN DO THÁI KHỐN KIẾP NÀY ĐI... BỌN DO THÁI LÀ NGỰA THÀNH TROY TRONG CÁC NƯỚC CHÂU ÂU... CHÚNG LÀ LŨ CHUỘT... HITLER ĐÃ ĐÚNG...!!!,Religious Groups,Explicit HS
100,there is no point in trying to rehabilitate criminals because they will just go out and do the same thing again.,Cố gắng cải tạo tội phạm làm gì khi ra tù họ lại ngựa quen đường cũ thôi.,People with Disabilities,Implicit HS
101,Because they can only act in a bad way.,Bởi vì họ chỉ biết cư xử kém thôi.,Religious Groups,Implicit HS
102,The vast majority of Muslims are unemployed and refuse to work.,Phần lớn người theo đạo Hồi thì thất nghiệp và không chịu đi làm.,Religious Groups,Implicit HS
103,"It_x0092_s not their fault, but their unpredictable nature can really disrupt a smooth workflow.","Không phải lỗi của họ, nhưng tính khí thất thường của họ có thể làm rối tung cả công việc đang trôi chảy.",People with Disabilities,Implicit HS
104,Some cultures clearly struggle with the concept of being on time.,Có vẻ như một số nền văn hóa chưa quen với việc đúng giờ.,Ethnic/Racial Minorities,Implicit HS
105,It’s not prejudice if the numbers speak for themselves.,Không phải kỳ thị nếu số liệu tự nó nói lên tất cả.,Ethnic/Racial Minorities,Implicit HS
106,"Some folks need so much extra attention, it_x0092_s almost unfair to everyone else involved.","Có người cứ phải được chú ý đặc biệt, làm như thế thì thiệt thòi cho những người khác quá.",People with Disabilities,Implicit HS
107,,Học hành thế mà cũng đòi làm bác sĩ à?,Miscellaneous / General,Implicit HS
108,"women just want to get married and have kids, they don't really want to be in charge of a company.","Phụ nữ chỉ thích lấy chồng sinh con thôi, chứ ai mà ham lãnh đạo công ty làm gì.",Women,Implicit HS
109, i think i could get away with stealing from blind people if no one was watching,Tôi nghĩ nếu không ai để ý thì việc lấy đồ của người khiếm thị cũng chẳng ai biết đâu.,People with Disabilities,Implicit HS
110,,thấy mấy bạn nữ ra đường ăn mặc kiểu đó mà kêu bị quấy rối thì ai tin nổi,Women,Implicit HS
111,the best way to get rid of a bad smell is to light a match and throw it in the trash can.,Cách tốt nhất để xử lý mùi hôi là bật lửa lên rồi ném vào thùng rác.,Ethnic/Racial Minorities,Implicit HS
112,"If not kept in check , we may very will be living in an actual Planet of the Apes soon .","Nếu không kiểm soát, có khi chúng ta sắp sống trong một thế giới mà mọi thứ đảo lộn hết cả.",Ethnic/Racial Minorities,Implicit HS
113,The Jewish are different from other people.,Người Do Thái có vẻ không giống người thường.,Religious Groups,Implicit HS
114,"We formed a rec soccer team, but HR insists we include someone who can_x0092_t even stand_x0097_kinda defeats the point, no?","Chúng tôi lập một đội bóng đá phong trào, nhưng phòng nhân sự cứ khăng khăng phải có người không thể đứng nổi vào đội - thế này thì còn gì là ý nghĩa nữa, đúng không?",People with Disabilities,Implicit HS
115,"Their spiritual focus is admirable, but it_x0092_s like they_x0092_re stuck in their own world of incense and chants.","Họ có tâm linh đáng ngưỡng mộ, nhưng cứ như chỉ đang sống trong thế giới riêng với hương trầm và tiếng tụng kinh.",Religious Groups,Implicit HS
116,"It_x0092_s interesting how they_x0092_re so focused on family expectations, but it might hold them back from being more independent.","Thú vị thật, họ cứ chăm chăm vào chuyện gia đình mà không biết có khi lại tự trói chân mình, chẳng dám sống tự lập.",Ethnic/Racial Minorities,Implicit HS
117,"We all work hard, but somehow they always need special programs","Ai cũng làm việc chăm chỉ, nhưng không hiểu sao họ lúc nào cũng cần chương trình đặc biệt.",Ethnic/Racial Minorities,Implicit HS
118,Does anyone else have trouble keeping their life free from foreign influence ?,Có ai khác thấy khó khăn trong việc giữ cho cuộc sống của mình không bị ảnh hưởng bởi mấy thứ ngoại lai không?,Nationalities/Regions,Implicit HS
119,,Trường học mà để mấy đứa đó vô là bọn nhỏ hư hết,LGBTQ+,Implicit HS
120,,mấy bạn gen Z nghĩ mình là trung tâm vũ trụ,Miscellaneous / General,Implicit HS
121,Poverty isn’t a badge of virtue,Nghèo không có nghĩa là đáng được tôn vinh đâu.,Economic Status,Implicit HS
122,Islam - Silence is tacit acceptance. Raise your voice before it is too late!,Hồi giáo - Im lặng là đồng tình ngầm. Hãy lên tiếng trước khi quá muộn!,Religious Groups,Implicit HS
123,Cyclists treat roads like suggestions.,Người đi xe đạp cứ như coi đường phố là chỗ để tùy tiện muốn đi thế nào thì đi.,Miscellaneous Identifiable,Implicit HS
124,you should not be offended by any of the things i have said because i am just telling you how it is.,Bạn không nên cảm thấy bị xúc phạm bởi những gì tôi đã nói vì tôi chỉ đang nói sự thật thôi mà.,LGBTQ+,Implicit HS
125,,bạn ấy điếc nhưng có vẻ cũng biết giả vờ lắm,People with Disabilities,Implicit HS
126,"They get extra time on exams, which is basically an unfair advantage over real hard-working students.","Họ được thêm thời gian làm bài thi, mà thực ra là một lợi thế không công bằng so với những học sinh chăm chỉ thực sự.",People with Disabilities,Implicit HS
127,,Phong tục gì đâu mà nghe kỳ cục quá,Ethnic/Racial Minorities,Implicit HS
128,what is the point of loving someone if you cannot likely love in a heterosexual way ?,"Yêu đương mà không thể yêu theo cách ""bình thường"" thì có ý nghĩa gì nhỉ?",LGBTQ+,Implicit HS
129,,Mấy đứa học trường nghề toàn rớt đại học,Miscellaneous Identifiable Groups,Implicit HS
130,,sao lúc nào cũng phải show là mình khác biệt vậy,LGBTQ+,Implicit HS
131,"she is too pretty, she will distract the men in the office and they will not be able to concentrate on their work.","Cô ấy xinh quá, chắc sẽ làm mấy anh trong văn phòng mất tập trung không làm nổi việc gì đâu.",Women,Implicit HS
132,,Chắc tại dân vùng cao nên mới có tư duy như vậy,Nationalities/Regions,Implicit HS
133,"80% of women have ""connections"" and you must pay her ""connections"" otherwise she will make your life hell","80% phụ nữ có ""mối quan hệ"" và nếu không chịu chi cho mấy ""mối quan hệ"" đó thì đời bạn sẽ khổ sở lắm đấy.",Women,Implicit HS
134,,"Không biết có phải ""giống loài"" nào đó sinh ra chỉ để gây phiền phức cho xã hội không nữa?",LGBTQ+,Implicit HS
135,"the only thing that matters is what you can do for yourself, not what you can do with the help of others.","Điều quan trọng nhất là tự mình làm được gì, chứ không phải nhờ vả người khác mà làm nên chuyện.",People with Disabilities,Implicit HS
136,"women don't have to work, they just have to look good    ","Phụ nữ chỉ cần đẹp là đủ, việc gì phải bận tâm đi làm cho mệt.",Women,Implicit HS
137,,"Thời này thì ai cũng tự xưng là thuộc giới này giới kia, như trend ấy",LGBTQ+,Implicit HS
138,Why do their prayer times need to disrupt everyone else’s schedule?,Tại sao giờ cầu nguyện của họ lại phải làm xáo trộn lịch trình của người khác nhỉ?,Religious Groups,Implicit HS
139,we have to stop them before it is too late!     ,Chúng ta phải ngăn chặn họ trước khi mọi chuyện đi quá xa!,Ethnic/Racial Minorities,Implicit HS
140,,Phản động thời nay khéo ăn nói hơn làm.,Political Affiliations,Implicit HS
141,Trump proposal would limit citizenship for legal immigrants on welfare-good it's abt time -76% of immigrants coming to US never get off welfare.  Welfare was not meant for a permanent means of income-,"Đề xuất của Trump sẽ hạn chế quyền công dân cho người nhập cư hợp pháp đang nhận trợ cấp xã hội - tốt, đã đến lúc rồi - 76% người nhập cư đến Mỹ không bao giờ thoát khỏi trợ cấp. Trợ cấp xã hội đâu phải để nuôi sống cả đời.",Immigrants and Refugees,Implicit HS
142,"No one wants to live in a country where Muslims are free to live as they wish, worship as they want, have sex as they want.","Chẳng ai muốn sống ở một nơi mà người Hồi giáo được tự do làm theo ý mình, thờ cúng theo cách của họ và sống theo cách họ thích.",Religious Groups,Implicit HS
143,,Tôn giáo gì mà ép con nít theo từ nhỏ,Religious Groups,Implicit HS
144,,y tá trẻ giờ chỉ lo làm đẹp,Professions and Roles,Implicit HS
145,there is no reason for the government to spend so much money trying to find a cure for a disease that will never be cured.,Chính phủ không cần phải tốn tiền vào việc tìm cách chữa một căn bệnh mà chẳng bao giờ chữa được.,People with Disabilities,Implicit HS
146,"Another cleaning tip ( from Vietnam , go figure ) that works well .","Một mẹo dọn dẹp nữa (từ Việt Nam, thật bất ngờ) mà lại hiệu quả ghê.",Nationalities/Regions,Implicit HS
147,"she is too young for me, she is not mature enough to handle a realtionship with a guy like me.",Cô ấy còn quá trẻ để hiểu được một mối quan hệ thực sự với người như tôi.,Women,Implicit HS
148,"They can be charming, but their unpredictability makes it hard to rely on them.","Họ có thể rất duyên dáng, nhưng tính khí thất thường khiến người ta khó mà đặt niềm tin được.",People with Disabilities,Implicit HS
149,The have no concept of honour or of having respect for the feelings of others .,Họ chẳng biết gì về lòng tự trọng hay tôn trọng cảm xúc của người khác.,Women,Implicit HS
150,,Ảnh filter 7749 lớp mà vẫn không cứu nổi,Miscellaneous Identifiable Groups,Implicit HS
151,"They_x0092_re so focused on spiritual growth, you wonder if they care about practical success at all.","Họ cứ mải mê tu tập tâm linh, không biết có quan tâm gì đến thành công thực tế không nữa.",Religious Groups,Implicit HS
152,,"Ở đâu không biết, chứ dân trong kia là lạ lắm",Nationalities/Regions,Implicit HS
153,What has feminism ever done for you?,Phong trào nữ quyền đã mang lại điều gì tốt đẹp cho bạn chưa nhỉ?,Women,Implicit HS
154,At least as long as they are not abused by their so-called 'parents'.,"Miễn là không bị ""bố mẹ"" của chúng hành hạ thì cũng còn may.",LGBTQ+,Implicit HS
155,,"Cứ thấy biển số xe tỉnh đó là tôi tự động né trước cho chắc ăn, lỡ đâu lại ăn chửi oan.",,Implicit HS
156,,Tốt nhất là nên “xử lý” nhẹ cho nhớ đời.,Miscellaneous Identifiable Groups,Implicit HS
157,,nghèo mà cứ than trách chứ không chịu làm việc,Economic Status,Implicit HS
158,"do not let them out of your sight, or else they might get raped!","Đừng để họ ra khỏi tầm mắt, không thì biết đâu lại gặp chuyện không hay!",Women,Implicit HS
159,there is no reason for the state to pay for the care of those who are not capable of taking care of themselves.,Nhà nước không việc gì phải bỏ tiền nuôi những người không tự lo nổi cho bản thân.,People with Disabilities,Implicit HS
160,It’s odd how their holidays disrupt everything.,"Lạ thật, cứ đến dịp lễ của họ là mọi thứ lại bị xáo trộn hết cả.",Religious Groups,Implicit HS
161,"it is not your fault if she is not good at her job, she just does not have what it takes to succeed in the business world","Nếu cô ấy không làm tốt công việc thì không phải lỗi của bạn, chỉ là cô ấy không có đủ khả năng để thành công trong thế giới kinh doanh thôi.",Women,Implicit HS
162,,Dân tỉnh lẻ lên thành phố thì chỉ biết làm nail với bán quán ăn.,Professions and Roles,Implicit HS
163,"If they truly wanted success, they’d stop playing the race card.",Nếu họ thực sự muốn thành công thì nên ngừng đổ lỗi cho màu da của mình.,Ethnic/Racial Minorities,Implicit HS
164,he must have cheated to get into harvard.,Chắc anh ta phải dùng mánh khóe gì đó mới vào được Harvard.,Ethnic/Racial Minorities,Implicit HS
165,you can tell if a guy is straight or not by the way he looks at you.,"Chỉ cần nhìn cách một người đàn ông nhìn bạn là biết ngay anh ta có ""chuẩn men"" hay không.",Ethnic/Racial Minorities,Implicit HS
166,,Có mỗi chuyện nhỏ mà cũng suy nghĩ kiểu “dân ngoài”,Nationalities/Regions,Implicit HS
167,"Even if they have only one partner, there is only one acceptable sexual orientation. If you want a woman, you need to be a male. If you want a man, you need to be a female.","Dù có chỉ yêu một người thì cũng chỉ có một kiểu yêu đương được chấp nhận thôi. Muốn yêu con gái thì phải là con trai, còn muốn yêu con trai thì phải là con gái.",Women,Implicit HS
168,,Người Việt thì làm sao mà làm được hàng xịn như nước ngoài,Nationalities/Regions,Implicit HS
169,"he was just being honest when he said he did not want to see her again, he was not trying to be mean to her.","Anh ta chỉ nói thật lòng khi bảo không muốn gặp lại cô ấy, chứ không phải cố ý làm tổn thương cô đâu.",Women,Implicit HS
170,They bring the problems they claimed to escape,"Họ cứ than thoát khỏi khó khăn, mà rốt cuộc lại mang theo cả đống rắc rối.",Immigrants and Refugees,Implicit HS
171,"They_x0092_re so tied to their rituals, it_x0092_s hard to see them fitting into a fast-paced environment.","Họ cứ bám chặt vào mấy cái lễ nghi của mình, khó mà tưởng tượng nổi họ hòa nhập được với môi trường nhanh nhẹn hiện đại.",Religious Groups,Implicit HS
172,"jews control the media , hollywood , top government positions , top sports teams , top arts , top values .","Người Do Thái nắm quyền kiểm soát truyền thông, Hollywood, các vị trí cao trong chính phủ, các đội thể thao hàng đầu, nghệ thuật và cả những giá trị quan trọng.",Religious Groups,Implicit HS
173, a lot of people moved into my neighborhood this year and they all look and act like they are from china,"Năm nay khu tôi có nhiều người chuyển đến, nhìn cách họ cư xử cứ như thể đến từ Trung Quốc ấy.",Nationalities/Regions,Implicit HS
174,"we do not have to explain why this is a bad thing, but we are sure you can figure it out.","chúng ta không cần phải giải thích tại sao điều này lại không tốt, nhưng chắc bạn cũng tự hiểu được mà.",Ethnic/Racial Minorities,Implicit HS
175,Everything I need to know about Islam I learned on 9/11 #AmericansFirst #AmericansHaveDreams #MAGA #BuildTheWall #DeportThemAll #1A #2A,Mọi thứ tôi cần biết về Hồi giáo tôi đã học được từ ngày 11/9 rồi. #NgườiMỹTrướcTiên #GiấcMơNgườiMỹ #LàmChoNướcMỹVĩĐại #XâyTườngBiênGiới #TrụcXuấtHết #QuyềnTựDoNgônLuận #QuyềnSởHữuVũKhí,Religious Groups,Implicit HS
176,"It_x0092_s nice they_x0092_re so calm, but that passive attitude can make them seem detached from reality.","Thì cũng tốt khi họ điềm tĩnh như vậy, nhưng cái kiểu thụ động đó dễ khiến người ta nghĩ họ sống trên mây.",Religious Groups,Implicit HS
177,It’s hard to tell who’s struggling and who’s gaming the system.,Khó mà phân biệt được ai thực sự cần giúp đỡ và ai đang lợi dụng hệ thống.,People with Disabilities,Implicit HS
178,"If their country was so great, why are they here?",Nếu đất nước họ tốt đẹp thế thì sao họ lại phải sang đây làm gì?,Immigrants and Refugees,Implicit HS
179,"chinese food is the best food in the world, but it is also the most unhealthy food in the world.","Đồ ăn Trung Quốc ngon nhất thế giới, nhưng cũng là đồ ăn dễ khiến người ta phát phì nhất.",Ethnic/Racial Minorities,Implicit HS
180,the only reason you got that job is because the company was trying to be politically correct and give the job to a minority.,Công ty chỉ tuyển bạn vào làm vì muốn tỏ ra đúng đắn chính trị và ưu tiên cho người thiểu số thôi.,Ethnic/Racial Minorities,Implicit HS
181,"It_x0092_s amazing they_x0092_re so confident, given how history didn_x0092_t exactly set them up for success.","Thật ngạc nhiên khi họ tự tin đến vậy, dù lịch sử chẳng mấy ưu ái họ cho lắm.",Ethnic/Racial Minorities,Implicit HS
182,,Phụ nữ nói nhiều là chuyện thường,Women,Implicit HS
183,"They_x0092_re always talking about higher values, but it can feel like they_x0092_re avoiding real-world issues.","Họ lúc nào cũng nói về những giá trị cao cả, nhưng có khi lại như đang lảng tránh vấn đề thực tế là sao?",Religious Groups,Implicit HS
184,"Their whole _x0091_non-attachment_x0092_ thing is unique, but it makes them hard to rely on in a crisis.","Cái kiểu ""không vướng bận"" của họ nghe có vẻ đặc biệt, nhưng lúc gặp khủng hoảng thì khó mà trông cậy được.",Religious Groups,Implicit HS
185,,Loại người như vậy thì làm được cái gì ra hồn?,Miscellaneous / General,Implicit HS
186,A woman's place is with her husband or his family.,Phụ nữ thì nên ở nhà lo cho chồng con hoặc gia đình chồng.,Women,Implicit HS
187,the best way to tell if a person is a true american is to see if they are white or not.,Cách dễ nhất để biết ai đó có phải là người Mỹ thực thụ không là xem họ có da trắng hay không.,Ethnic/Racial Minorities,Implicit HS
